S.NO	DATE	Time	COMP.NO	TOPIC	T-L METHOD	SLO	FACULTY
1	2026-01-05	09:00	COMP 1.1	Cardiovascular System Basics	Lecture	Understand basic anatomy	Dr. Rajesh Kumar
2	2026-01-05	10:30	COMP 1.2	Physiology of Heart	Small group	Learning physiology	Dr. Priya Sharma
3	2026-01-06	09:00	COMP 2.1	Respiratory System Overview	Lecture	Bronchial anatomy	Dr. Amit Patel
4	2026-01-06	11:00	COMP 1.1	Cardiac Examination	Bedside	Clinical examination skills	Dr. Rajesh Kumar
5	2026-01-07	08:30	COMP 3.1	Gastrointestinal Pathology	Seminar	GI disorders discussion	Dr. Neha Desai
6	2026-01-07	14:00	COMP 2.2	Lung Auscultation Techniques	Demo	Physical examination	Dr. Amit Patel
7	2026-01-08	10:00	COMP 1.3	ECG Interpretation Basics	Small group	Basic ECG reading	Dr. Vikram Singh
8	2026-01-09	09:30	COMP 3.2	Liver Function Tests	Lecture	LFT interpretation	Dr. Neha Desai
9	2026-01-09	13:00	COMP 2.3	Chest X-ray Reading	Seminar	Radiology basics	Dr. Kavya Menon
10	2026-01-10	15:00	COMP 1.4	Arrhythmias Overview	Lecture	Clinical correlation	Dr. Vikram Singh
